date_diff,sum,date
0,555,2020-01-22
1,654,2020-01-23
2,941,2020-01-24
3,1434,2020-01-25
4,2118,2020-01-26
5,2927,2020-01-27
6,5578,2020-01-28
7,6166,2020-01-29
8,8234,2020-01-30
9,9927,2020-01-31
10,12038,2020-02-01
11,16787,2020-02-02
12,19881,2020-02-03
13,23892,2020-02-04
14,27635,2020-02-05
15,30794,2020-02-06
16,34391,2020-02-07
17,37120,2020-02-08
18,40150,2020-02-09
19,42762,2020-02-10
20,44802,2020-02-11
21,45221,2020-02-12
22,60368,2020-02-13
23,66885,2020-02-14
24,69030,2020-02-15
25,71224,2020-02-16
26,73258,2020-02-17
27,75136,2020-02-18
28,75639,2020-02-19
29,76197,2020-02-20
30,76819,2020-02-21
31,78572,2020-02-22
32,78958,2020-02-23
33,79561,2020-02-24
34,80406,2020-02-25
35,81388,2020-02-26
36,82746,2020-02-27
37,84112,2020-02-28
38,86011,2020-02-29
39,88369,2020-03-01
40,90306,2020-03-02
41,92840,2020-03-03
42,95120,2020-03-04
43,97886,2020-03-05
44,101801,2020-03-06
45,105847,2020-03-07
46,109821,2020-03-08
47,113590,2020-03-09
48,118620,2020-03-10
49,125875,2020-03-11
50,128352,2020-03-12
51,145205,2020-03-13
52,156101,2020-03-14
53,167454,2020-03-15
54,181574,2020-03-16
55,197102,2020-03-17
56,214821,2020-03-18
57,242500,2020-03-19
58,272035,2020-03-20
59,304396,2020-03-21
60,336953,2020-03-22
61,378235,2020-03-23
62,418045,2020-03-24
63,467653,2020-03-25
64,529591,2020-03-26
65,593291,2020-03-27
66,660706,2020-03-28
67,720117,2020-03-29
68,782365,2020-03-30
69,857487,2020-03-31
70,932605,2020-04-01
